"","blog.txt","news.txt","twitter.txt"
"actually good",7,1,8
"actually gotten",1,1,2
"actually happened",2,1,2
"actually play",2,1,2
"actually s",6,1,9
"actually started",1,2,1
"actually thing",2,1,1
"actually think",4,1,6
"actually works",1,1,1
"ad agencies",1,1,1
"ad campaign",1,1,3
"ad hoc",6,1,1
"ad nauseam",1,1,1
"add 100",1,1,1
"add another",5,1,1
"add extra",6,1,2
"add sugar",6,1,1
"added s",5,2,1
"added two",1,3,1
"adding new",3,2,5
"administration will",1,1,1
"admission tickets",1,2,1
"adult child",1,1,1
"adult life",3,1,2
"adults will",1,1,1
"advisory board",2,2,2
"advisory committee",1,2,1
"affect us",3,1,1
"afford pay",3,1,3
"affordable housing",5,3,1
"afraid speak",1,1,2
"african american",17,8,12
"african americans",6,2,2
"african art",1,1,3
"afternoon re",1,1,1
"agave syrup",1,1,1
"age 25",4,1,2
"age group",4,1,4
"aged man",1,1,1
"ago got",4,1,1
"ago lot",1,1,1
"ago love",1,1,1
"ago started",4,1,2
"agree s",1,1,7
"agreed make",1,1,1
"agreed pay",1,1,1
"agreed send",1,1,1
"ahead time",16,1,7
"ain t",29,2,241
"air conditioning",9,2,9
"air force",10,5,6
"air just",2,1,1
"air national",1,1,1
"air quality",1,1,2
"air will",1,2,1
"al pacino",4,1,1
"al qaeda",16,7,3
"albert pujols",1,2,2
"alcoholic beverages",2,2,1
"allen s",4,1,2
"allowed leave",1,1,1
"allows us",9,1,3
"almighty god",4,1,1
"almost 200",3,1,2
"almost always",19,2,5
"almost certainly",7,5,2
"almost cried",1,1,4
"almost died",3,1,4
"almost every",30,4,4
"almost everyone",6,2,1
"almost feels",3,1,1
"almost four",2,1,1
"almost full",2,1,1
"almost identical",1,1,1
"almost impossible",7,1,1
"almost like",14,4,8
"almost never",3,2,4
"almost ready",2,1,6
"almost two",7,2,4
"almost two years",3,1,2
"alone just",5,1,3
"alone one",3,1,1
"alone will",2,1,2
"along lines",12,1,4
"along new",8,1,2
"along road",4,1,2
"along route",1,1,1
"along two",4,1,3
"along way",54,3,10
"already arrived",1,1,1
"already begun",2,1,1
"already can",1,1,4
"already closed",1,1,1
"already done",7,1,4
"already enough",2,1,4
"already good",1,1,2
"already got",1,1,16
"already happening",1,1,1
"already knew",9,1,3
"already know",18,2,38
"already like",1,1,1
"already lost",2,2,2
"already s",2,1,4
"already set",2,1,1
"already started",3,1,5
"already starting",2,1,2
"already struggling",1,1,1
"already taken",1,1,4
"already used",4,1,1
"also able",7,1,1
"also allow",5,1,1
"also approved",1,1,1
"also available",3,4,1
"also believe",4,1,4
"also called",10,1,4
"also can",12,1,3
"also come",4,2,1
"also consider",1,1,1
"also create",3,1,1
"also enjoy",3,1,1
"also find",13,1,2
"also fun",3,1,1
"also gave",4,2,1
"also get",19,1,3
"also give",3,1,2
"also gives",5,1,2
"also got",15,3,9
"also great",9,2,6
"also help",7,2,1
"also helped",6,2,2
"also important",2,1,1
"also include",4,2,1
"also includes",6,2,1
"also interested",2,1,1
"also just",4,1,4
"also known",22,2,5
"also like",23,1,11
"also live",1,2,1
"also look",4,3,4
"also looking",8,2,4
"also love",12,1,16
"also made",26,1,3
"also make",10,2,6
"also makes",12,3,2
"also may",1,1,1
"also means",11,1,2
"also mention",5,1,1
"also mentioned",3,2,1
"also might",2,1,2
"also need",18,1,5
"also never",4,1,2
"also new",8,3,1
"also offer",3,1,1
"also offers",1,2,1
"also one",13,2,2
"also opportunity",1,1,1
"also plan",2,1,2
"also played",2,2,1
"also possible",2,1,1
"also pretty",5,1,2
"also put",7,1,2
"also said",17,14,2
"also saw",8,1,2
"also say",6,1,2
"also see",8,1,2
"also set",3,1,1
"also shown",1,1,1
"also sold",3,1,1
"also something",6,1,2
"also still",3,1,3
"also take",11,2,1
