"","blog.txt","news.txt","twitter.txt"
"'cause i",5,2,4
"'em a",1,1,1
"'n' roll",3,1,3
"'nuff said",1,1,2
"& associates",1,3,2
"& breakfast",2,1,1
"& co",8,4,3
"& more",4,2,31
"& music",1,1,4
"& noble",3,5,5
"& onion",1,1,2
"& the",24,4,140
"ì a",57,1,5
"ì and",121,4,1
"ì but",46,3,1
"ì it",46,1,2
"ì it's",18,1,1
"ì the",132,3,1
"ì they",18,1,1
"ì to",13,1,1
"ì to be",1,1,1
"ì what",15,1,1
"ì what are",1,1,1
"î a",23,16,1
"î and",34,18,1
"î for",6,5,1
"î it",2,3,1
"î the",16,25,1
"ù and",17,1,2
"ù she",13,1,1
"1 a",5,1,1
"1 billion",2,7,4
"1 million",3,15,6
"1 trillion",1,2,2
"1 what",1,1,1
"10 5",1,1,2
"10 am",8,14,10
"10 and",13,3,8
"10 at",1,1,3
"10 cents",1,1,1
"10 day",2,1,2
"10 days",12,3,18
"10 feet",2,1,2
"10 for",3,3,2
"10 gallon",2,1,1
"10 hours",3,1,3
"10 if",2,1,2
"10 in",7,2,6
"10 million",3,7,2
"10 minute",4,1,3
"10 minutes",61,4,20
"10 minutes to",2,1,1
"10 new",1,1,2
"10 of",6,1,3
"10 or",7,1,4
"10 percent",3,12,5
"10 pm",2,8,10
"10 points",3,4,1
"10 the",8,2,2
"10 tickets",1,1,1
"10 times",6,1,8
"10 to",8,2,8
"10 year",13,11,8
"10 year old",4,1,2
"10 years",31,21,30
"10 years ago",3,1,7
"10 years in",1,5,3
"10 years later",1,1,1
"100 and",1,2,3
"100 mile",2,1,1
"100 million",8,4,4
"100 people",2,2,2
"100 per",1,1,1
"100 percent",4,3,6
"100 percent of",3,1,1
"100 years",5,3,6
"10000 to",2,1,1
"11 am",6,5,12
"11 and",5,1,2
"11 in",3,2,5
"11 months",2,2,1
"11 on",1,3,4
"11 pm",3,4,3
"11 the",5,4,2
"11 years",8,2,1
"12 and",10,6,5
"12 days",1,1,5
"12 hours",6,1,12
"12 in",4,2,4
"12 in the",3,1,1
"12 million",2,4,1
"12 months",10,1,4
"12 of",4,1,3
"12 or",2,1,2
"12 the",8,1,1
"12 year",5,2,9
"12 year old",5,2,6
"12 years",5,5,7
"13 and",2,3,2
"13 inch",1,1,1
"13 months",2,1,1
"13 year",4,1,2
"13 year old",4,1,2
"13 years",7,1,6
"14 million",2,1,1
"14 percent",2,2,1
"14 to",3,1,2
"14 under",1,1,2
"14 year",5,1,2
"14 year old",4,1,2
"14 years",6,1,6
"15 and",6,2,3
"15 at",2,1,4
"15 cents",2,1,1
"15 days",2,1,3
"15 games",1,1,1
"15 million",3,5,1
"15 minute",5,1,2
"15 minutes",37,4,32
"15 months",5,2,1
"15 on",1,1,3
"15 seconds",2,3,2
"15 year",8,3,5
"15 year old",7,2,5
"15 years",14,7,9
"15 years ago",1,1,1
"15th century",1,1,1
"16 and",2,1,3
