"","blog.txt","news.txt","twitter.txt"
"$1 billion",3,7,7
"$1 million",8,15,9
"$1 trillion",1,2,4
"$10 million",1,7,3
"$10 per",1,1,3
"$10 per person",1,1,1
"$100 million",3,4,1
"$100 per",1,1,2
"$12 million",1,3,3
"$20 million",2,4,3
"$200 million",2,3,3
"$21 million",1,2,1
"$240 million",1,1,1
"$25 million",4,2,4
"$3 million",2,6,2
"$30 million",1,1,1
"$300 million",1,1,1
"$35 billion",1,1,1
"$4 billion",1,2,1
"$5 million",4,5,1
"$50 million",1,1,1
"$600 million",1,2,1
"$8 billion",1,3,1
"$8 million",1,3,1
"& associates",1,3,4
"& breakfast",2,1,2
"& clark",1,1,1
"& co",13,4,11
"& crafts",3,1,1
"& drink",1,1,11
"& gang",1,2,3
"& johnson",1,2,2
"& music",1,1,12
"& noble",10,5,6
"& onion",1,1,4
"& schuster",7,1,1
"& spa",2,1,2
"&t s",2,1,2
"¶ go",1,1,1
"¶ just",3,2,1
"ò m",9,1,1
"î just",7,1,1
"î s",13,4,3
"î short",1,1,1
"î sometimes",1,1,1
"î will",7,1,2
"0 0",1,14,10
"0 1",1,2,5
"0 10",4,2,2
"0 6",2,2,2
"0 deficit",1,1,1
"0 lead",1,3,7
"00 2",1,1,1
"00 pm",42,3,45
"05 01",2,2,1
"05 06",1,1,1
"1 0",14,15,40
"1 0 lead",1,2,2
"1 00",8,1,12
"1 00 pm",2,1,4
"1 1",77,16,33
"1 1 2",37,4,6
"1 1 3",5,1,1
"1 10",12,2,12
"1 14",2,1,1
"1 15",6,1,8
"1 2",323,30,185
"1 2 1",1,1,1
"1 2 3",11,2,7
"1 2 cups",10,1,1
"1 2 days",1,1,5
"1 2 hours",8,3,6
"1 2 years",8,3,5
"1 2012",8,1,5
"1 25",5,1,4
"1 27",3,1,4
"1 3",72,12,28
"1 3 1",2,1,1
"1 3 pm",1,1,3
"1 30",9,7,26
"1 30 pm",3,3,5
"1 4",108,12,31
"1 4 inch",2,2,1
"1 40",1,1,6
"1 49",3,1,1
"1 5",21,2,16
"1 50",6,2,1
"1 6",4,4,4
"1 7",10,1,5
"1 8",16,1,10
"1 800",2,3,11
"1 9",4,1,2
"1 c",7,1,1
"1 can",9,1,2
"1 cup",60,3,1
"1 first",5,2,2
"1 hour",23,1,29
"1 inch",15,2,2
"1 last",4,1,4
"1 loss",1,2,2
"1 male",1,1,1
"1 medium",5,1,1
"1 mile",6,1,6
"1 minute",11,6,6
"1 percent",2,8,1
"1 pm",7,10,13
"1 s",9,1,23
"1 second",3,1,3
"1 tablespoon",22,1,1
"1 team",1,1,3
"1 two",2,1,2
"1 whole",1,1,1
"1 will",3,1,7
"1 year",15,2,34
"1 year old",5,1,2
"10 0",1,2,3
"10 00",17,2,17
"10 00 2",1,1,1
"10 1",5,3,6
"10 10",7,1,11
"10 11",12,1,13
"10 12",24,1,12
"10 13",4,2,2
"10 2",1,4,8
"10 2 pm",1,2,1
"10 20",8,1,5
"10 20 minutes",1,1,1
"10 2012",3,2,2
"10 29",1,1,2
"10 3",2,5,3
"10 30",18,3,41
"10 30 pm",4,1,7
"10 4",6,3,6
"10 4 pm",1,2,1
"10 5",1,3,5
"10 6",2,2,5
"10 8",2,3,4
"10 cents",1,1,2
"10 day",2,1,3
"10 days",18,3,40
"10 days ago",1,1,1
"10 feet",3,2,3
"10 gallon",2,1,1
