"","blog.txt","news.txt","twitter.txt"
"10 game",1,1,1
"10 go",1,1,5
"10 hours",9,2,10
"10 mile",4,1,3
"10 minute",6,1,5
"10 minutes",99,4,52
"10 new",3,1,4
"10 o",1,1,2
"10 o clock",1,1,2
"10 percent",4,12,6
"10 pm",9,14,22
"10 points",4,4,4
"10 s",1,1,4
"10 saturday",1,1,1
"10 second",1,1,2
"10 take",2,1,1
"10 times",13,1,17
"10 year",20,12,18
"10 year old",10,1,8
"10 years",59,23,60
"10 years ago",9,1,17
"10 years later",1,1,1
"100 different",1,1,1
"100 mile",3,1,1
"100 miles",2,1,5
"100 people",4,3,6
"100 percent",6,3,10
"100 percent time",1,1,1
"100 yards",2,1,1
"100 year",3,2,1
"100 years",13,3,13
"1000 people",1,1,4
"10th anniversary",1,1,9
"11 0",1,1,2
"11 05",2,1,1
"11 1",4,3,11
"11 11",9,1,62
"11 13",4,1,6
"11 14",1,1,2
"11 15",4,2,4
"11 2",6,2,11
"11 30",21,6,28
"11 4",3,2,5
"11 45",4,1,4
"11 5",3,1,2
"11 6",2,2,5
"11 9",1,3,1
"11 different",3,1,2
"11 miles",3,2,1
"11 months",3,2,5
"11 noon",1,1,1
"11 pm",6,5,11
"11 s",2,3,7
"11 year",9,3,6
"11 year old",8,2,5
"11 years",11,2,3
"12 1",9,1,9
"12 11",1,1,3
"12 16",5,1,2
"12 18",4,2,2
"12 20",1,2,1
"12 2011",2,1,2
"12 2012",1,1,4
"12 21",1,1,3
"12 3",3,1,6
"12 30",5,2,33
"12 30 pm",2,1,2
"12 4",2,2,5
"12 6",1,1,7
"12 7",1,1,2
"12 best",2,1,1
"12 days",2,1,12
"12 hours",10,1,23
"12 hours day",2,1,1
"12 miles",3,1,3
"12 million",2,1,2
"12 minutes",4,1,10
"12 months",16,1,6
"12 s",1,1,4
"12 season",1,1,4
"12 year",14,3,14
"12 year old",14,2,9
"12 years",11,5,13
"13 1",3,1,2
"13 14",6,1,4
"13 inch",2,1,1
"13 months",2,1,2
"13 season",1,1,2
"13 year",10,1,8
"13 year old",9,1,6
"13 years",11,1,10
"14 1",6,1,4
"14 15",8,1,1
"14 2",1,1,3
"14 21",3,1,1
"14 million",1,1,2
"14 percent",2,2,1
"14 pm",1,1,1
"14 year",8,1,3
"14 year old",6,1,2
"14 years",7,1,12
"15 11",3,1,3
"15 12",1,1,3
"15 16",5,1,2
"15 20",15,2,4
"15 20 minutes",11,1,1
"15 8",2,3,1
"15 cents",2,1,3
"15 days",5,1,8
"15 feet",4,2,1
"15 games",1,1,1
"15 miles",2,4,7
"15 million",3,1,3
"15 minute",9,1,3
"15 minutes",73,4,59
"15 minutes will",1,1,1
"15 months",6,2,4
"15 pm",1,3,13
"15 seconds",3,3,5
"15 year",13,3,17
"15 year old",10,2,12
"15 years",21,7,14
"15 years ago",2,1,2
"15 years old",2,1,1
"150th anniversary",1,1,1
"15th century",2,1,3
"16 1",4,1,1
"16 12",1,1,4
"16 17",2,1,1
"16 18",1,1,2
"16 2011",5,1,2
"16 28",1,1,1
"16 days",1,1,9
"16 year",13,3,9
"16 year old",11,3,7
"16 years",6,3,5
"16th century",6,1,1
"17 19",2,1,2
"17 20",2,1,2
"17 2011",2,1,2
"17 21",1,1,2
"17 8",1,1,2
"17 months",1,1,2
"17 points",2,2,2
"17 year",13,8,4
"17 year old",13,8,4
"17 years",15,2,7
"17th century",5,2,1
"17th street",1,1,1
"18 2",2,1,2
"18 21",3,1,1
"18 live",1,1,1
"18 months",17,4,8
"18 points",1,3,2
"18 year",11,3,6
"18 year old",10,2,4
"18 year olds",1,1,1
"18 years",16,1,9
"18th century",7,1,1
"19 7",1,1,1
"19 month",1,1,1
"19 month old",1,1,1
"19 year",14,7,2
"19 year old",11,6,2
"19 years",6,2,6
"1999 2000",2,1,1
"19th century",31,3,8
"2 0",6,6,24
"2 00",12,1,5
"2 1",45,13,50
"2 1 0",1,1,1
"2 1 2",26,3,8
"2 10",4,1,3
"2 11",4,1,7
"2 12",4,1,4
"2 13",4,1,4
"2 15",5,1,7
"2 17",2,1,3
"2 2",6,7,40
"2 20",2,1,1
"2 3",96,12,55
"2 3 4",10,1,2
"2 3 minutes",7,2,1
"2 3 weeks",5,1,2
"2 30",9,3,20
"2 30 pm",2,3,3
"2 4",12,9,31
"2 40",2,1,1
"2 5",10,1,14
"2 50",3,1,1
"2 6",4,3,5
"2 7",5,1,4
"2 books",2,1,3
"2 cups",38,2,7
"2 days",31,1,105
"2 get",2,1,39
"2 go",1,1,32
"2 happy",1,1,3
"2 hours",47,3,89
"2 inches",20,4,7
"2 large",6,2,1
"2 last",2,1,6
"2 look",1,1,5
"2 m",3,1,11
"2 minutes",32,5,24
"2 news",2,1,1
"2 pm",11,12,21
"2 point",1,1,5
"2 pounds",7,1,4
"2 seconds",5,1,8
"2 show",2,1,4
"2 stars",3,1,1
"2 start",1,2,9
"2 teaspoons",13,2,1
"2 think",1,1,4
"2 times",10,1,7
"2 us",3,1,9
"2 year",15,2,13
"2 year old",7,2,7
"2 years",47,4,70
"2 years old",3,1,1
"20 1",2,1,4
"20 12",2,2,4
"20 17",2,1,2
"20 21",4,1,5
"20 22",1,2,3
"20 25",2,1,3
"20 30",11,2,5
"20 days",1,2,7
"20 feet",1,4,4
"20 foot",1,1,1
"20 inches",1,1,1
"20 million",1,1,5
"20 minutes",72,4,58
"20 people",3,1,4
"20 percent",7,10,5
"20 pm",1,2,2
"20 points",1,2,6
"20 pounds",1,1,4
"20 somethings",2,1,1
"20 times",6,1,4
"20 year",9,7,10
"20 year old",4,5,3
"20 years",50,8,43
"20 years ago",10,1,8
"20 years prison",1,2,1
"200 years",8,1,5
"2008 started",1,1,1
"2009 2010",3,5,2
"2009 s",2,1,1
"2010 11",3,4,5
"2010 2011",8,1,6
"2010 s",1,2,1
"2011 12",14,1,6
"2011 2012",4,1,10
"2011 2012 school",1,1,1
"2011 last",3,1,1
"2011 number",1,1,1
"2011 s",2,1,6
"2011 season",7,5,5
"2012 13",3,2,10
"2012 school",1,1,1
"2012 school year",1,1,1
"2012 will",10,1,13
"2013 s",1,2,1
"20s 30s",1,2,1
"20th century",41,2,7
"21 &",2,1,2
"21 22",5,3,1
"21 year",8,2,5
"21 year old",5,1,3
"21st century",24,1,23
"22 11",3,2,1
"22 25",2,1,2
"22 points",1,2,1
"22 year",2,8,1
"22 year old",1,7,1
"22 years",7,2,5
"23 2",1,1,1
"23 2011",3,1,1
"23 7",1,1,3
"24 25",1,2,2
"24 26",1,2,3
"24 5",2,1,1
"24 7",17,3,38
"24 hour",11,3,12
"24 hours",50,7,61
"24 hours day",8,1,3
"24 march",1,1,1
"24 year",4,1,1
"25 12",2,1,1
"25 22",1,1,1
"25 23",1,1,1
"25 26",5,1,4
"25 hours",2,2,6
"25 minutes",14,1,9
"25 new",2,2,2
"25 percent",1,5,1
"25 times",1,1,1
"25 year",5,3,4
"25 year old",4,3,2
"25 years ago",2,1,2
"25 years",24,6,15
"25th anniversary",3,1,1
"26 12",2,1,1
"26 27",2,1,1
"26 28",2,2,2
"26 3",1,1,1
"26 year",4,3,1
"26 year old",3,3,1
"27 2012",6,1,1
"27 28",2,1,2
"27 year",1,4,1
"27 year old",1,4,1
"27 years",2,6,3
"28 2011",4,1,1
"28 29",1,1,3
"28 days",3,1,3
"28 minutes",1,1,1
"28 year",5,1,2
"28 year old",5,1,1
"28 years",2,3,2
"29 years",3,1,1
"2nd 3rd",3,1,4
"2nd annual",1,1,9
"3 0",5,4,19
"3 1",23,13,25
"3 1 2",8,3,8
"3 10",5,3,6
"3 12",6,1,8
"3 15",3,1,10
"3 16",5,1,5
"3 18",3,1,3
"3 2",8,4,24
"3 20",2,1,3
"3 27",1,1,3
"3 3",12,2,15
"3 30",9,2,36
"3 30 pm",2,2,3
"3 35",3,2,3
"3 4",120,9,45
"3 4 inches",2,1,1
"3 43",1,1,1
"3 45",2,1,8
"3 5",16,5,26
"3 5 years",2,1,3
"3 6",14,5,15
"3 8",4,3,5
"3 cups",8,1,1
"3 inches",7,1,4
"3 innings",1,9,2
"3 just",2,1,7
"3 mile",3,1,4
"3 miles",9,1,11
"3 minutes",24,3,19
"3 pm",8,10,20
"3 star",4,1,2
"3 tablespoons",10,2,1
"3 weeks",43,1,45
"3 will",3,1,8
"3 year",9,2,18
"3 year old",5,2,13
"3 years",37,2,52
"3 years old",3,1,3
"30 1",3,3,5
"30 10",1,1,7
"30 12",1,2,7
"30 2",1,1,3
"30 2011",6,1,1
"30 3",3,3,1
"30 4",1,1,7
"30 40",15,4,2
"30 60",1,1,2
"30 9",4,2,3
"30 days",10,2,25
"30 minute",8,2,6
"30 minutes",73,4,49
"30 morning",3,1,12
"30 people",5,1,4
"30 percent",2,4,1
"30 pm",30,34,69
"30 pounds",5,1,1
"30 s",11,1,17
"30 second",2,2,3
"30 seconds",28,1,16
"30 year",9,5,5
"30 year fixed",1,1,1
"30 year old",6,1,3
"30 years",40,8,14
"300 block",1,1,1
"300 pound",1,1,1
"300 year",1,1,1
"3000 miles",2,1,1
"30000 feet",2,1,2
"31 3",1,1,1
"32 years",2,1,2
"33 year",1,2,1
"33 year old",1,1,1
"33 years",5,2,1
"34 years",2,2,2
"35 minutes",5,1,6
"35 year",3,1,1
"350 degrees",17,1,1
"36 years",1,1,1
"360 degrees",1,1,1
"364 days",2,1,3
"37 seconds",1,1,1
"38 seconds",1,1,1
"39 years",1,2,4
"3rd round",1,1,1
"4 0",2,6,23
"4 1",22,11,33
"4 1 2",7,4,2
"4 10",6,1,4
"4 11",3,1,7
"4 18",4,1,5
"4 2",6,3,14
"4 20",3,1,34
"4 2012",2,1,5
"4 22",3,1,3
"4 23",3,2,4
"4 3",14,4,27
"4 30",12,8,51
"4 30 pm",3,6,2
"4 4",3,1,11
"4 5",44,5,32
"4 5 minutes",4,3,1
"4 6",20,3,19
"4 9",3,1,5
"4 cups",7,1,1
"4 day",2,1,14
"4 family",1,1,3
"4 feet",2,2,2
"4 inch",8,3,1
"4 inches",5,3,3
"4 last",1,1,1
"4 minutes",13,2,6
"4 new",2,2,6
"4 pm",9,9,26
"4 run",1,1,1
"4 s",5,1,11
"4 x",10,2,4
"4 year",12,3,21
"4 year old",11,3,13
"4 yr",1,4,12
"40 days",8,2,5
"40 degrees",1,1,2
"40 minute",3,1,3
"40 minutes",18,1,14
"40 mph",1,1,3
"40 percent",4,7,2
"40 pm",2,1,6
"40 year",6,3,8
"40 year old",5,3,6
"40 years",28,1,19
"400 degrees",6,1,1
"400 people",2,1,1
"43 year",2,1,1
"43 year old",1,1,1
"43 years",2,1,2
"45 min",2,1,12
"45 minutes",36,3,22
"45 pm",5,2,7
"45 seconds",5,1,3
"45 year",1,1,1
"45 year old",1,1,1
"45 years",5,1,1
"45 years old",1,1,1
"48 hours",23,2,12
"49 year",2,1,1
"4th july",9,1,35
"5 00",8,1,13
"5 00 pm",2,1,4
"5 1",7,6,10
"5 10",21,2,18
"5 11",3,5,4
"5 12",1,1,6
"5 13",3,1,2
"5 15",2,3,11
"5 18",1,1,2
"5 3",7,6,10
"5 30",13,2,62
"5 4",8,6,11
"5 45",3,1,7
"5 45 pm",2,1,3
"5 6",27,1,24
"5 7",22,4,17
"5 8",16,5,15
"5 9",1,2,9
"5 feet",3,2,1
"5 may",1,1,1
"5 minutes",72,7,62
"5 one",5,1,3
"5 percent",3,8,2
"5 pm",9,11,26
"5 second",1,1,4
"5 will",5,1,3
"5 win",1,1,1
"5 year",19,3,14
"5 year old",7,2,10
"5 years",39,1,48
"5 years old",5,1,1
"50 50",8,4,19
"50 people",2,1,9
"50 percent",3,9,3
"50 pm",5,2,2
"50 yards",1,2,2
"50 year",5,2,4
"50 year old",3,1,1
"50 years",16,5,17
"50 years ago",4,1,3
"500 people",5,2,2
"500 year",1,2,1
"501 c",3,1,3
"50th anniversary",2,3,1
"50th birthday",2,1,3
"52 week",3,1,1
"53 percent",3,4,1
"5th grader",1,1,1
"6 0",6,3,7
"6 1",9,9,13
"6 10",9,2,14
"6 11",3,2,5
"6 12",5,1,9
"6 15",2,1,7
"6 2",4,5,7
"6 20",2,1,2
"6 2011",4,1,2
"6 3",3,3,6
"6 30",14,8,70
"6 30 pm",5,3,10
"6 4",3,5,6
"6 5",4,9,8
"6 6",4,5,6
"6 7",17,5,30
"6 8",14,2,20
"6 9",9,5,18
"6 9 pm",2,3,7
"6 feet",2,4,3
"6 feet tall",1,1,1
"6 foot",5,8,3
"6 inches",5,2,2
"6 mile",1,1,3
"6 miles",5,1,4
"6 million",4,2,1
"6 minutes",4,2,6
"6 months",32,1,38
"6 pm",5,10,38
"6 year",8,4,14
"6 year old",6,4,12
"60 days",2,4,3
"60 minutes",10,1,13
"60 percent",4,3,1
"60 seconds",3,1,5
"60 years",7,2,3
"60s 70s",4,1,1
"65 years",2,1,1
"6th avenue",1,1,1
"6th street",1,1,6
"7 1",7,1,6
"7 10",11,3,9
"7 10 pm",1,3,1
"7 11",3,1,10
"7 12",1,1,4
"7 15",4,1,7
"7 2",2,2,3
"7 20",4,1,2
"7 3",1,7,6
"7 30",18,12,77
"7 30 pm",5,9,21
"7 35",1,1,3
"7 40",2,1,6
"7 45",2,1,3
"7 5",1,2,5
"7 6",3,2,7
"7 7",4,1,6
"7 8",15,3,11
"7 days",14,1,27
"7 inch",1,2,2
"7 miles",1,1,5
"7 minutes",9,1,5
"7 pm",6,17,33
"7 year",9,3,8
"7 year old",6,3,6
"70 mph",1,1,1
"70 percent",1,1,1
"700 club",1,1,1
"75 degrees",1,1,2
"75 percent",7,4,2
"75 years",3,1,1
"75 years ago",1,1,1
"8 0",1,1,3
"8 1",4,2,5
"8 10",29,2,11
"8 11",3,1,8
"8 12",5,3,9
"8 15",2,2,7
"8 20",1,3,3
"8 2010",1,1,3
"8 3",1,1,15
"8 30",14,5,50
"8 30 pm",3,2,8
"8 43",2,1,1
"8 45",2,2,5
"8 5",2,1,5
"8 7",1,1,2
"8 8",1,1,9
"8 big",2,1,1
"8 hours",13,1,22
"8 miles",1,1,4
"8 minutes",8,1,5
"8 months",10,1,5
"8 pm",10,12,28
"8 s",2,1,5
"8 weeks",10,1,3
"8 year",10,2,15
"8 year old",9,2,12
"80 percent",1,7,3
"82 games",1,1,2
"83 year",1,1,2
"83 year old",1,1,1
"85 million",1,1,1
"9 00",17,1,23
"9 1",5,5,9
"9 10",11,2,10
"9 11",35,5,42
"9 12",7,2,3
"9 15",1,1,7
"9 2",2,3,4
"9 20",2,1,1
"9 3",5,3,7
"9 30",11,9,48
"9 30 pm",1,3,4
"9 4",1,1,2
"9 45",2,1,6
"9 5",5,3,15
"9 8",4,1,2
"9 inch",7,1,1
"9 percent",1,4,1
"9 pm",14,10,29
"9 year",3,2,7
"9 year old",2,2,4
"9 years",10,1,7
"9 years old",2,1,1
"90 days",4,3,3
"90 percent",4,5,4
"90 years",2,1,2
"99 percent",1,2,3
"aaron rodgers",4,2,17
"abby s",4,1,1
"abc s",5,3,8
"ability play",2,1,1
"ability read",2,1,2
"able accept",2,1,1
"able accommodate",1,1,1
"able add",3,1,1
"able buy",5,1,1
"able call",4,1,3
"able drive",1,1,2
"able follow",3,2,2
"able get",81,3,45
"able get married",2,1,6
"able keep",10,1,4
"able look",3,1,3
"able make",33,3,25
"able move",6,1,3
"able much",3,1,1
"able pick",4,2,3
"able play",3,2,3
"able provide",5,1,1
"able purchase",1,1,1
"able put",13,1,2
"able read",7,1,8
"able ride",2,1,1
"able skip",1,1,1
"able sleep",5,1,10
"able stay",11,1,3
"able think",3,1,4
"able use",14,2,5
"absolutely loving",1,1,2
"absolutely m",1,1,3
"absolutely necessary",4,2,3
"absolutely nothing",16,2,18
"absolutely nothing wrong",2,1,1
"absolutely right",5,1,7
"abuse neglect",3,2,3
"abuse victims",1,1,1
"academy awards",3,3,4
"accept challenge",1,1,5
"accept fact",5,1,6
"accept one",3,1,1
"accept s",2,1,3
"acceptable make",1,1,1
"acceptance speech",2,1,10
"access information",1,1,2
"access internet",3,1,2
"access treatment",1,1,1
"accomplish anything",3,1,2
"accomplish goals",2,1,2
"according five",1,1,1
"according new",4,3,3
"according plan",6,1,2
"according sources",2,2,1
"according state",1,6,1
"according us",1,5,2
"achieve goals",4,1,1
"achievement award",2,1,6
"achilles heel",3,1,1
"aclu s",1,1,1
"acoustic guitar",6,1,3
"across chest",1,2,3
"across city",2,1,1
"across country",32,10,12
"across hall",1,1,4
"across nation",3,2,5
"across new",1,1,1
"across state",1,7,3
"across street",27,3,36
"across way",1,1,1
"act like",32,2,107
"act now",3,1,3
"act one",3,2,3
"act quickly",2,1,1
"acting director",1,1,1
"action lawsuit",1,1,1
"action movies",3,1,3
"active duty",2,1,3
"active role",3,1,1
"actively seeking",4,1,1
"activity can",4,1,1
"actor s",4,1,4
"actual real",3,1,1
"actually feeling",1,1,2
"actually first",7,1,3
"actually going",6,1,8
"actually good",9,1,16
"actually gotten",1,1,2
"actually happen",2,1,5
"actually happened",3,1,2
"actually hold",1,1,1
"actually looks",4,1,1
"actually play",2,1,8
"actually right",2,1,1
"actually s",11,1,18
"actually started",3,2,3
"actually thing",2,1,2
"actually think",10,1,15
"actually used",5,1,5
"actually way",4,1,2
"actually works",3,1,2
"ad agencies",2,1,1
"ad campaign",3,1,3
"ad hoc",7,1,3
"ad nauseam",1,1,1
"add 100",1,1,2
"add another",8,1,6
"add extra",10,1,2
"add sugar",9,1,1
"added 15",1,1,1
"added another",2,1,3
"added list",3,1,2
"added s",5,2,2
"added two",3,3,3
"adding new",5,2,9
"addis ababa",2,1,1
"additional information",3,3,1
"additional support",1,1,1
"administration will",1,1,1
"admission tickets",2,2,2
"adult child",5,1,1
"adult children",1,2,1
"adult life",8,1,3
"adult male",1,1,1
"adults will",3,1,1
"advice give",3,2,2
"advisory board",2,2,3
"advisory committee",2,2,2
"affect us",5,1,1
"afford pay",5,1,3
"affordable housing",7,3,2
"afghanistan s",1,1,1
"afraid say",4,1,1
"afraid speak",1,1,3
"african american",26,9,14
"african americans",15,2,5
"african art",1,1,3
"afternoon night",1,1,1
"afternoon re",1,1,3
"agave syrup",1,1,1
"age 14",3,1,1
"age 16",5,3,1
"age 18",8,1,4
"age 25",5,1,2
"age 34",1,1,1
"age 8",2,1,2
"age group",12,1,5
"age time",1,1,2
"aged man",2,1,3
"agency s",9,11,1
"ages 10",1,1,1
"ages 2",1,2,1
"ages 4",2,1,1
"ago got",5,1,1
"ago lived",1,1,1
"ago lot",1,1,2
"ago love",1,1,2
"ago started",4,1,3
"ago still",10,1,3
"ago told",2,1,1
"ago used",7,1,1
"ago will",4,1,1
"agree s",1,1,16
"agreed make",1,1,1
"agreed pay",1,1,1
"agreed send",1,1,1
"agreed upon",2,1,1
"ahead time",25,1,11
"ain t",48,2,506
"air conditioning",15,2,12
"air force",15,6,12
"air force academy",1,1,1
"air just",3,1,3
"air national",1,1,1
"air pollution",2,2,1
"air quality",1,1,3
"air traffic",2,2,1
"air will",1,2,1
"al jefferson",1,1,1
"al pacino",5,1,2
"al qaeda",23,8,7
"albert pujols",1,2,4
"album called",2,1,2
"album great",1,1,1
"album since",1,1,1
"alcoholic beverages",2,2,1
"allen s",7,1,8
"allow go",1,1,1
"allowed leave",3,1,1
"allows people",2,1,1
"allows us",17,1,5
"almighty god",8,1,1
"almost 1",2,1,1
"almost 200",2,1,3
"almost 7",2,1,2
"almost always",29,2,13
"almost broke",2,1,1
"almost certainly",9,5,3
"almost cried",1,1,7
"almost died",4,1,7
"almost enough",1,1,1
"almost every",48,4,15
"almost everyone",7,2,7
"almost feels",3,1,1
"almost flat",1,1,1
"almost four",4,1,1
"almost full",3,1,2
"almost identical",2,1,1
"almost impossible",14,1,1
"almost like",24,4,15
"almost never",8,2,8
"almost ready",4,1,10
"almost seems",3,1,1
"almost two",8,2,8
"almost two years",4,1,3
"alone just",5,1,3
"alone know",1,1,1
"alone one",5,1,1
"alone will",4,1,2
"along either",1,1,1
"along lines",20,1,5
"along local",1,1,2
"along new",10,1,2
"along nicely",3,1,3
"along road",6,1,2
"along route",2,1,1
"along two",5,1,3
"along way",80,3,21
"already arrived",1,1,2
"already begun",4,1,4
"already built",2,1,1
"already can",2,1,6
"already closed",1,1,1
"already done",17,1,10
"already enough",5,1,6
"already good",1,1,7
"already got",3,1,27
"already happening",1,1,1
"already knew",17,1,6
"already know",38,2,81
"already like",3,1,3
"already lost",4,2,4
"already s",2,1,12
"already set",2,1,2
"already started",4,1,7
"already starting",6,1,4
"already struggling",1,1,1
"already taken",3,1,8
"already took",1,1,3
"already used",7,1,2
"already won",3,1,1
"already writing",1,1,1
"also able",10,1,1
"also allow",6,1,1
"also another",3,1,1
"also approved",1,1,1
"also available",9,4,1
"also believe",6,1,6
"also call",3,2,2
"also called",14,1,4
"also can",16,1,5
"also claim",1,1,1
"also come",7,2,2
"also consider",3,1,2
"also contributed",1,2,1
"also cover",2,1,1
"also create",6,1,3
"also enjoy",4,1,1
"also find",16,1,3
"also first",15,1,3
"also fun",5,1,2
"also gave",5,2,1
"also get",27,1,12
"also give",7,1,4
"also gives",6,1,5
"also got",25,3,15
"also great",15,2,10
"also help",12,2,2
"also helped",10,2,3
"also important",5,1,1
"also include",6,2,1
"also includes",11,2,2
"also interested",3,1,3
"also joined",4,1,1
"also just",9,1,10
"also known",36,2,8
"also like",39,1,23
"also live",3,2,4
"also look",6,3,7
"also looking",10,2,5
"also love",23,1,28
"also made",36,1,6
"also make",23,2,16
"also makes",18,3,3
"also may",5,1,1
"also means",15,1,2
"also mention",6,1,2
"also mentioned",5,2,1
"also might",4,1,2
"also must",2,2,2
"also nearly",1,1,1
"also need",32,1,16
"also needs",3,1,1
"also never",5,1,4
"also new",9,3,4
"also offer",5,1,1
"also offers",1,2,1
"also one",19,2,9
"also opened",2,1,1
"also opportunity",1,1,1
"also plan",3,2,2
"also played",5,2,1
"also possible",2,1,1
"also pretty",9,1,2
"also provides",6,1,1
"also put",15,1,3
"also responsible",3,1,1
"also said",26,15,4
"also saw",13,1,4
"also say",11,1,5
"also see",15,1,8
"also set",4,1,3
"also shown",1,1,1
"also sold",3,1,1
"also something",6,1,2
"also still",5,1,4
"also take",19,2,4
"also teach",1,1,1
"also tell",3,1,4
"also thank",1,1,3
"also think",23,2,11
"also thought",7,1,1
"also try",7,1,4
"also turned",1,1,1
"also us",5,1,1
"also used",48,1,3
"also want",24,2,18
"also wanted",17,1,5
"also will",8,5,6
"also work",5,1,3
"also working",8,1,2
"also wrote",5,1,3
"alternative fuel",1,2,1
"although can",3,2,1
"although many",5,2,1
"although may",10,1,2
"although one",7,2,1
"although s",12,1,9
"aluminum foil",3,1,1
"always add",4,1,2
"always appreciated",2,1,2
"always ask",7,1,3
"always believed",5,1,3
"always counted",1,1,1
"always done",5,1,4
"always found",10,1,3
"always full",4,1,1
"always given",2,1,1
"always going",13,2,8
"always good",30,2,67
"always hand",5,1,1
"always hold",3,1,4
"always included",1,2,1
"always just",3,1,5
"always keep",7,1,10
"always knew",6,1,5
"always know",11,1,11
"always made",9,1,2
"always one",22,2,25
"always open",4,1,6
"always part",7,1,3
"always play",2,1,7
"always re",3,1,2
"always remember",11,2,26
"always s",7,1,3
"always said",11,1,8
"always say",15,1,24
"always seem",3,1,15
"always seem find",1,1,2
"always seems",12,2,11
"always seems like",1,1,1
"always show",3,1,4
"always someone",1,1,8
"always something",12,1,14
"always sounds",1,1,3
"always struggle",1,1,1
"always thing",2,1,2
"always think",11,1,32
"always trouble",1,1,1
"always trying",5,2,11
"always want",15,1,18
"always will",18,3,15
"alzheimer s",16,3,8
"amazing go",1,1,2
"amazing m",1,1,13
"amazing place",2,1,5
"amazing see",6,1,6
"amazing talent",1,1,5
"amazing thing",5,1,2
"amazon google",1,1,1
"amc s",1,1,3
"amendment rights",3,2,1
"america love",1,1,1
"america s",55,8,55
"america s founding",1,1,1
"american airlines",3,3,5
"american cities",3,1,1
"american citizens",3,2,1
"american civil",4,1,1
"american dream",4,2,10
"american flag",1,4,3
"american flags",1,3,2
"american girl",7,1,3
"american idol",10,4,54
"american male",2,1,1
"american people",16,1,11
"american pie",3,1,5
"american s",8,1,1
"american society",8,1,2
"american troops",2,2,2
"american version",2,1,1
"american way",3,2,3
"americans can",1,1,1
"americans now",2,1,1
"americans prosperity",1,2,1
"americans will",6,1,7
"among best",4,2,1
